Model,Accuracy,F1-score,ROC AUC,PR AUC
SVM (RBF),0.8648863140885352,0.7953589093870732,0.923720908374648,0.8917284316507048
Random Forest,0.8288490289091661,0.7560636501348375,0.91621275536788,0.8800066780583117
Gradient Boosting,0.827604177056175,0.7506506440457148,0.9067612338387963,0.8746741752365856
